t_ns,gx,gy,gz,ax,ay,az
1762325009760863744,0.011718139983713627,0.05486267805099487,-0.0415458157658577,-1.0493115186691284,-9.286897659301758,1.431770920753479
1762325009987976448,0.06764546781778336,-0.08735372871160507,-0.11292105168104172,-0.990471601486206,-9.64974308013916,1.7553902864456177
1762325010088764672,0.0415458157658577,0.0026616270188242197,0.010119418613612652,-1.1081514358520508,-9.228057861328125,1.6573238372802734
1762325010154181376,-0.023436279967427254,0.08096233010292053,-0.02716430276632309,-0.7649186849594116,-9.090764045715332,1.7553902864456177
1762325010224518400,-0.009054767899215221,0.006391395349055529,-0.07883128523826599,-1.0296982526779175,-9.43399715423584,2.0103631019592285
1762325010289780480,-0.06391744315624237,0.034088023006916046,-0.03994709625840187,-0.6864655017852783,-9.45361042022705,1.6965503692626953
1762325010354992384,-0.0015969761880114675,-0.020240582525730133,-0.011718139983713627,-0.9120184183120728,-9.32612419128418,1.6573238372802734
1762325010390082816,-0.016510814428329468,0.022369883954524994,-0.029827676713466644,-0.6864655017852783,-9.365350723266602,1.7553902864456177
1762325010455225088,-0.012782790698111057,0.024500930681824684,-0.006391395349055529,-0.627625584602356,-9.473223686218262,1.5690639019012451
1762325010525516544,-0.006391395349055529,0.01970651187002659,0.014913838356733322,-0.8041452765464783,-9.306510925292969,1.7357770204544067
1762325010555651584,-0.006391395349055529,0.026631977409124374,0.013315116055309772,-0.9120184183120728,-9.384963989257812,1.6573238372802734
1762325010620883200,-0.023436279967427254,-0.003728023264557123,-0.023436279967427254,-0.9512450098991394,-9.404577255249023,1.8534568548202515
1762325010655997440,-0.04846953600645065,0.03888244554400444,-0.0324910469353199,-0.627625584602356,-9.45361042022705,1.6082905530929565
1762325010721167360,-0.017043139785528183,0.0026616270188242197,0.04261046648025513,-0.5687856674194336,-9.414383888244629,1.5494506359100342
1762325010756246016,-0.010119418613612652,0.013847441412508488,0.07776663452386856,-0.8041452765464783,-9.286897659301758,1.431770920753479
1762325010826390272,0.0367513969540596,-0.03994709625840187,0.052731629461050034,-0.9316317439079285,-9.365350723266602,1.9907499551773071
1762325010891503104,-0.028761280700564384,-0.008520697243511677,-0.04846953600645065,-0.9512450098991394,-9.45361042022705,1.6769371032714844
1762325010956598272,-0.06871011853218079,0.03036000207066536,0.019174186512827873,-0.8531785011291504,-9.32612419128418,1.6082905530929565
1762325010991641856,-0.0607217475771904,-0.004792673978954554,0.003728023264557123,-0.7649186849594116,-9.365350723266602,1.3925442695617676
1762325011056709120,-0.010119418613612652,-0.0250332560390234,0.11451803147792816,-1.0296982526779175,-9.365350723266602,1.4906107187271118
1762325011091737088,0.008520697243511677,-0.0026616270188242197,0.04314279183745384,-1.206217885017395,-9.384963989257812,1.4906107187271118
1762325011156774656,0.015978489071130753,-0.015446163713932037,0.03781779482960701,-1.1081514358520508,-9.286897659301758,1.7750035524368286
1762325011221793536,-0.04420918971300125,-0.0005323254154063761,-0.05859070271253586,-0.8924051523208618,-9.43399715423584,1.81423020362854
1762325011291792640,-0.02822895534336567,-0.008520697243511677,0.018641861155629158,-0.8531785011291504,-9.384963989257812,1.3140910863876343
1762325011356772608,0.009054767899215221,-0.03462209552526474,-0.005324999336153269,-1.0493115186691284,-9.34573745727539,1.5102241039276123
